0.0	25.0	50.0	75.0	100.0	
20.0	129693.0	90691.0	152441.0	196685.0	
40.0	156684.0	353847.0	683938.0	786178.0	
80.0	718846.0	1286223.0	1032901.0	1013413.0	
160.0	928807.0	1746794.0	4401833.0	7008162.0	
320.0	5813264.0	1.1681837E7	2.4689712E7	3.8162641E7	
640.0	2.7144769E7	2.5117124E7	3.1698602E7	4.7430228E7	
1280.0	2.4638973E7	6.1647092E7	8.0372373E7	1.45743205E8	
2560.0	1.2197134E8	2.08404431E8	3.78667019E8	4.64731464E8	
5120.0	4.03679672E8	9.62511191E8	1.430661116E9	1.889655171E9	
10240.0	1.969697143E9	2.992384896E9	4.757622833E9	8.533551409E9	
